date,oil_price_usd,ca_5yr_bond_yield,overnight_rate,cadusd_rate,natgas_price,alberta_etf
2021-12-01,65.56999969482422,1.75,0.1274,0.7828217148780823,4.257999897003174,8.570795059204102
2021-12-02,66.5,1.75,0.1274,0.7805852890014648,4.056000232696533,8.733316421508789
2021-12-03,66.26000213623047,1.75,0.1274,0.7801711559295654,4.131999969482422,8.699102401733398
2021-12-06,69.48999786376953,1.75,0.1274,0.7802137732505798,3.6570000648498535,8.912944793701172
2021-12-07,72.05000305175781,1.75,0.1274,0.7835761904716492,3.7079999446868896,9.195215225219727
2021-12-08,72.36000061035156,1.75,0.1274,0.7907763719558716,3.815000057220459,9.143893241882324
2021-12-09,70.94000244140625,1.75,0.1274,0.7903763651847839,3.813999891281128,8.989930152893066
2021-12-10,71.66999816894531,1.75,0.1274,0.7868810892105103,3.924999952316284,9.04124927520752
2021-12-13,71.29000091552734,1.75,0.1274,0.7861697673797607,3.7939999103546143,8.784639358520508
2021-12-14,70.7300033569336,1.75,0.1274,0.780786395072937,3.746999979019165,8.64777946472168
2021-12-15,70.87000274658203,1.75,0.1274,0.7771759033203125,3.802000045776367,8.639225959777832
2021-12-16,72.37999725341797,1.75,0.1274,0.7790285348892212,3.7660000324249268,8.673442840576172
2021-12-17,70.86000061035156,1.75,0.1274,0.7824910283088684,3.690000057220459,8.493813514709473
2021-12-20,68.2300033569336,1.75,0.1274,0.775283932685852,3.8340001106262207,8.5109224319458
2021-12-21,71.12000274658203,1.75,0.1274,0.7730364799499512,3.86899995803833,8.844515800476074
2021-12-22,72.76000213623047,1.75,0.1274,0.7738141417503357,3.9760000705718994,8.964265823364258
2021-12-23,73.79000091552734,1.75,0.1274,0.7781374454498291,3.7309999465942383,8.930051803588867
2021-12-24,73.79000091552734,1.75,0.1274,0.7797939777374268,3.7309999465942383,8.972819328308105
2021-12-27,75.56999969482422,1.75,0.1274,0.7803964614868164,4.059999942779541,8.972819328308105
2021-12-28,75.9800033569336,1.75,0.1274,0.7820442914962769,4.054999828338623,8.972819328308105
2021-12-29,76.55999755859375,1.75,0.1274,0.7804573774337769,4.02400016784668,9.143893241882324
2021-12-30,76.98999786376953,1.75,0.1274,0.7823134660720825,3.561000108718872,9.056169509887695
2021-12-31,75.20999908447266,1.75,0.1274,0.7846583127975464,3.7300000190734863,9.09917163848877
2022-01-01,75.20999908447266,2.07,0.1811,0.7846583127975464,3.7300000190734863,9.09917163848877
2022-01-03,76.08000183105469,2.07,0.1811,0.7899643182754517,3.815000057220459,9.09917163848877
2022-01-04,76.98999786376953,2.07,0.1811,0.7842337489128113,3.7170000076293945,9.443185806274414
2022-01-05,77.8499984741211,2.07,0.1811,0.7871288657188416,3.881999969482422,9.49478816986084
2022-01-06,79.45999908447266,2.07,0.1811,0.7836928963661194,3.812000036239624,9.778599739074707
2022-01-07,78.9000015258789,2.07,0.1811,0.785533607006073,3.9159998893737793,9.864604949951172
2022-01-10,78.2300033569336,2.07,0.1811,0.7907075881958008,4.078999996185303,9.864604949951172
2022-01-11,81.22000122070312,2.07,0.1811,0.7895776033401489,4.249000072479248,10.200017929077148
2022-01-12,82.63999938964844,2.07,0.1811,0.7950705289840698,4.85699987411499,10.354823112487793
2022-01-13,82.12000274658203,2.07,0.1811,0.7998976111412048,4.269999980926514,10.28602123260498
2022-01-14,83.81999969482422,2.07,0.1811,0.7995011210441589,4.26200008392334,10.578433990478516
2022-01-17,83.81999969482422,2.07,0.1811,0.7973082661628723,4.26200008392334,10.767640113830566
2022-01-18,85.43000030517578,2.07,0.1811,0.7989964485168457,4.2829999923706055,10.690237998962402
2022-01-19,86.95999908447266,2.07,0.1811,0.8001599907875061,4.031000137329102,10.647236824035645
2022-01-20,86.9000015258789,2.07,0.1811,0.7993029952049255,3.802000045776367,10.561230659484863
2022-01-21,85.13999938964844,2.07,0.1811,0.7999807596206665,3.999000072479248,10.182815551757812
2022-01-24,83.30999755859375,2.07,0.1811,0.7961149215698242,4.0269999504089355,10.036611557006836
2022-01-25,85.5999984741211,2.07,0.1811,0.7920478582382202,4.052999973297119,10.389225006103516
2022-01-26,87.3499984741211,2.07,0.1811,0.7926505208015442,4.2769999504089355,10.415024757385254
2022-01-27,86.61000061035156,2.07,0.1811,0.7899830341339111,6.264999866485596,10.569831848144531
2022-01-28,86.81999969482422,2.07,0.1811,0.7845783233642578,4.638999938964844,10.630033493041992
2022-01-31,88.1500015258789,2.07,0.1811,0.7837543487548828,4.874000072479248,10.71603775024414
