district,property_type,sales,new_listings,inventory,months_supply,benchmark_price,benchmark_yoy_pct,date,days_on_market,median_price,average_price,prev_benchmark_price
North East,Semi-Detached,9.0,27.0,109.0,12.11,192200.0,-1.33,2019-09-01,,,,
North,Semi-Detached,32.0,53.0,125.0,3.91,243300.0,-5.44,2019-09-01,,,,
North West,Semi-Detached,19.0,33.0,96.0,5.05,296200.0,-4.24,2019-09-01,,,,
West,Semi-Detached,19.0,33.0,96.0,5.05,296200.0,-4.24,2019-09-01,,,,
South,Semi-Detached,32.0,71.0,148.0,4.63,248100.0,-1.7,2019-09-01,,,,
South East,Semi-Detached,19.0,44.0,118.0,6.21,281900.0,-3.72,2019-09-01,,,,
East,Semi-Detached,9.0,27.0,109.0,12.11,192200.0,-1.33,2019-09-01,,,,
Calgary,Semi-Detached,126.0,309.0,732.0,5.81,396900.0,-2.29,2019-09-01,,,,
Calgary,Row,173.0,386.0,970.0,5.61,285200.0,-3.09,2019-09-01,,,,
Calgary,Total Residential,,2403.0,5207.0,,440700.0,,2019-09-01,51.0,425000.0,493008.0,439400.0
