date,oil_price_usd,ca_5yr_bond_yield,overnight_rate,cadusd_rate,natgas_price,alberta_etf,oil_7d,oil_30d,oil_90d,oil_mom,cadusd_7d,cadusd_30d,cadusd_90d,cadusd_mom,natgas_7d,natgas_30d,natgas_90d,natgas_mom,etf_7d,etf_30d,etf_90d,etf_mom,bond_7d,bond_30d,bond_90d,bond_mom,rate_7d,rate_30d,rate_90d,rate_mom,dow,month,month_start,target_next_month_mom,housing_pressure_score
2005-02-15,47.2599983215332,4.71,2.4971,0.8124136328697205,6.175000190734863,8.303214073181152,46.44285637991769,47.040666580200195,46.78906238079071,0.07629238182105191,0.8053567920412336,0.8125107109546661,0.8131918627768755,-0.007880449281108426,6.116999966757638,6.206133317947388,6.183624982833862,0.04625554771599272,8.085587433406285,7.650253359476725,7.6361955212008565,0.15091270087813347,4.71,4.697333333333334,4.696666666666667,0.004264392324093702,2.4971,2.4976700000000003,2.4977000000000005,-0.00036028823058453785,1,2,2005-02-01,,1.0277162
2005-02-16,48.33000183105469,4.71,2.4971,0.8086689114570618,6.109000205993652,8.487595558166504,46.87857110159738,47.20533332824707,46.835757515647195,0.11385117563713965,0.8070596030780247,0.8122421244780222,0.813054803645972,-0.00986571911469214,6.137000015803745,6.215333318710327,6.181363625959917,0.04731699198083028,8.171508652823311,7.697325197855632,7.662801772356033,0.1995854773944732,4.71,4.698000000000001,4.697058823529412,0.004264392324093702,2.4971,2.49764,2.4976823529411765,-0.00036028823058453785,2,2,2005-02-01,,1.0277162
2005-02-17,47.540000915527344,4.71,2.4971,0.8140670657157898,5.922999858856201,8.301748275756836,47.18428530011858,47.27133331298828,46.85647055682014,0.04345916335720479,0.8089502028056553,0.8123936931292216,0.8130845760597902,0.005616982287365735,6.102571419307163,6.211133321126302,6.173764691633337,-0.02082987799148517,8.23380674634661,7.734543784459432,7.6821637876106035,0.15539707270236458,4.71,4.698666666666667,4.6974285714285715,0.004264392324093702,2.4971,2.4976100000000003,2.497665714285714,-0.00036028823058453785,3,2,2005-02-01,,1.0373613
2005-02-18,48.34999847412109,4.71,2.4971,0.8098477721214294,5.9079999923706055,8.458333015441895,47.597142355782644,47.368666585286455,46.899142783028736,0.06427466760577216,0.810127990586417,0.8123169600963592,0.8129920959472656,-0.002834441491508799,6.065857137952532,6.208033323287964,6.1661714145115445,-0.015497406477818165,8.311365944998604,7.777908754348755,7.704992294311523,0.18176321285063501,4.71,4.699333333333333,4.697777777777778,0.004264392324093702,2.4971,2.49758,2.49765,-0.00036028823058453785,4,2,2005-02-01,,1.0160037
2005-02-21,48.34999847412109,4.71,2.4971,0.8104384541511536,5.9079999923706055,8.470040321350098,47.775713784354075,47.46933314005534,46.939444330003525,0.06662246902883329,0.8108830537114825,0.8120248397191365,0.8129211614529291,-0.010697740748097484,6.029857158660889,6.199666659037272,6.15899998611874,-0.04075335781546485,8.356940269470215,7.820346879959106,7.726850809369768,0.17690177410884766,4.71,4.7,4.698108108108109,0.004264392324093702,2.4971,2.49755,2.4976351351351354,-0.00036028823058453785,0,2,2005-02-01,,1.0252846
2005-02-22,51.150001525878906,4.71,2.4971,0.815727174282074,6.103000164031982,8.515400886535645,48.34571402413504,47.65166651407878,47.05324317313529,0.11974608546759025,0.8116479686328343,0.8118664383888244,0.8129969996375006,-0.0057917858577877235,6.031285762786865,6.199933338165283,6.157486477413693,0.0013126126522935433,8.39958667755127,7.863126262029012,7.748754978179932,0.17745824323429749,4.71,4.700666666666667,4.69842105263158,0.004264392324093702,2.4971,2.4975200000000006,2.497621052631579,-0.00036028823058453785,1,2,2005-02-01,,1.0160037
2005-02-23,51.16999816894531,4.71,2.4971,0.8010895252227783,6.310999870300293,8.57686710357666,48.87857110159738,47.81166648864746,47.161578830919765,0.10351518972669171,0.8103217908314296,0.8108240147431691,0.8126836450476396,-0.03757103346354007,6.0624286106654575,6.212200005849202,6.161526303542288,0.061921595227744985,8.44474274771554,7.904296080271403,7.771136386974438,0.1682283859653293,4.71,4.701333333333333,4.698717948717949,0.004264392324093702,2.4971,2.49749,2.4976076923076924,-0.00036028823058453785,2,2,2005-02-01,,1.0252846
2005-02-24,51.38999938964844,4.71,2.4971,0.8060615658760071,6.303999900817871,8.582722663879395,49.46857125418527,47.923333104451494,47.26999987088717,0.06973352227889573,0.8094143526894706,0.809963482618332,0.8125138481458029,-0.031033370689643403,6.080857140677316,6.2074999968210856,6.1651794727032,-0.021877465801084517,8.484672546386719,7.94327081044515,7.7924939205772,0.15771834355211056,4.71,4.702,4.699,0.004264392324093702,2.4971,2.49746,2.497595,-0.00036028823058453785,3,2,2005-02-01,,1.0252846
2005-02-25,51.4900016784668,4.71,2.4971,0.8064516186714172,6.715000152587891,8.796374320983887,49.91999980381557,48.02699979146322,47.37549991607666,0.06428277266825444,0.8090975965772357,0.8093719204266866,0.8123622924089432,-0.021532271758338828,6.16742856161935,6.218166669209798,6.178924989700318,0.050039120033744666,8.528783798217773,7.988099034627279,7.818234443664551,0.1804793323549403,4.71,4.702666666666667,4.699268292682927,0.004264392324093702,2.4971,2.49743,2.4975829268292684,-0.00036028823058453785,4,2,2005-02-01,,1.0252846
2005-02-28,51.75,4.71,2.4971,0.8101757764816284,6.730000019073486,8.667593002319336,50.52142824445452,48.13933308919271,47.48219504007479,0.06965685939403077,0.8085416981152126,0.8090194960435232,0.8123089627521795,-0.012881816283735303,6.282714298793247,6.229333337148031,6.1923658440752725,0.052384681649121356,8.581047330583845,8.027854140599569,7.83946840763092,0.15955354924395992,4.71,4.703333333333333,4.699523809523809,0.004264392324093702,2.4971,2.4974000000000003,2.4975714285714288,-0.00036028823058453785,0,2,2005-02-01,,1.0252846
